(-9.99911e-08,4.5815e-08)
(4.62534e-06,1.00961e-05)
(1.11342e-09,5.43238e-06)
(0.000190712,2.90916e-08)
(4.99956e-08,-2.29075e-08)
(-2.31267e-06,-5.04806e-06)
(-2.8133e-07,1.28902e-07)
(6.35412e-06,1.38716e-05)
(5.35456e-07,2.26017e-07)
(5.85463e-05,-0.0001387)
(7.50298e-09,1.24488e-08)
(9.37659e-06,-5.65133e-06)
(-2.31267e-06,-5.04806e-06)
(-3.65666e-06,-7.98169e-06)
(-9.99911e-08,4.5815e-08)
(4.62534e-06,1.00961e-05)
(4.99956e-08,-2.29075e-08)
(-2.31267e-06,-5.04806e-06)
(-2.31267e-06,-5.04806e-06)
(-0.00015055,3.02937e-08)
(-3.65666e-06,-7.98169e-06)
(-2.00935e-06,-4.38657e-06)
(-4.32632e-06,-9.4422e-06)
(5.24861e-05,-0.00012422)
(4.13985e-05,-9.80758e-05)
(1.01228e-05,-6.09968e-06)
(5.93028e-06,-3.57422e-06)
(4.62534e-06,1.00961e-05)
(-7.42265e-05,0.000175674)
(-2.31267e-06,-5.04806e-06)
(6.35412e-06,1.38716e-05)
(4.75577e-06,-2.86601e-06)
(-1.30685e-05,7.87466e-06)
(-0.00015055,3.02937e-08)
(5.85463e-05,-0.0001387)
(-4.56034e-06,-9.95295e-06)
(9.37659e-06,-5.65133e-06)
(4.99956e-08,-2.29075e-08)
(-2.31267e-06,-5.04806e-06)
(7.90499e-08,-3.62199e-08)
(-3.65666e-06,-7.98169e-06)
(7.51953e-06,-4.53157e-06)
(4.62534e-06,1.00961e-05)
(-2.31267e-06,-5.04806e-06)
(4.75577e-06,-2.86601e-06)
(4.99956e-08,-2.29075e-08)
(-2.31267e-06,-5.04806e-06)
(5.35456e-07,2.26017e-07)
(5.85463e-05,-0.0001387)
(7.90499e-08,-3.62199e-08)
(-3.65666e-06,-7.98169e-06)
(8.89642e-08,-4.07625e-08)
(-2.00935e-06,-4.38657e-06)
(-4.32632e-06,-9.4422e-06)
(7.51953e-06,-4.53157e-06)
(4.13261e-06,-2.49019e-06)
(7.11795e-09,1.181e-08)
(8.89542e-06,-5.36132e-06)
(-7.8731e-10,-3.84127e-06)
(-0.000134854,-2.05709e-08)
(-0.000106455,2.14209e-08)
(5.24861e-05,-0.00012422)
(3.78624e-07,1.59818e-07)
(4.13985e-05,-9.80758e-05)
(2.17917e-07,-9.98474e-08)
(-4.92188e-06,-1.07449e-05)
(-2.88421e-06,-6.2948e-06)
(1.01228e-05,-6.09968e-06)
(4.7453e-09,7.87332e-09)
(5.93028e-06,-3.57422e-06)
(-1.13019e-07,5.2743e-08)
(4.70906e-06,1.00923e-05)
(1.60113e-09,6.12638e-06)
