Segment#, Chi-Squared,  N,  Norm,  Norm-Chi-Squared 
1,294.397,59,1,
2,26.5351,3,1,
3,4866.92,24,1,
4,152.672,22,1,
5,590.216,23,1,
6,269.905,22,1,
7,114.456,23,1,
8,196.22,20,1,
9,3240.98,152,1,
10,22.7537,21,1,
11,115.077,10,1,
12,1492.34,356,1,
13,1729.51,356,1,
14,2018.23,356,1,
15,1732.36,356,1,
16,2314.68,356,1,
Total-Chi-Squared: 19177.2 Total-Norm-Chi-Squared: 16 Total-N: 2159

